aval,lambda,lambda_sem
0.6,-0.5004119296473654,0.0008173954677890682
0.62,-0.4633087638916948,0.0008552423450251363
0.64,-0.4324918902586256,0.000817525557625309
0.6599999999999999,-0.3988089995076528,0.0007833559796844362
0.6799999999999999,-0.36757368696093773,0.0008553662979477363
0.7,-0.3375840258484209,0.0008176469912579324
0.71,-0.3186264825007468,0.0014154076722267608
0.72,-0.27324583210584474,0.005874387632627221
0.73,-0.15305404984059795,0.010764338497085838
0.74,0.06242252998833831,0.01266235291652857
0.75,0.2780706967512562,0.008319053517522981
0.76,0.34589387674214805,0.004817246167982284
0.77,0.37821588005266904,0.0030381599513483026
0.78,0.39067019187930596,0.00190366437743605
0.79,0.40426432250935374,0.0016663509281361533
0.8,0.41139139459169294,0.001634148744860232
0.82,0.4260708818818202,0.0015380592567117543
0.84,0.4331363978879733,0.001298927233154849
0.86,0.44128604566748875,0.001355436284680208
0.88,0.4447281011698199,0.00132102266287776
0.8999999999999999,0.44948674786687054,0.0012759701693740538
0.9199999999999999,0.4522326762628943,0.0012431829461733866
0.94,0.4549566399352799,0.001207563148817838
0.96,0.45272726552603465,0.0012604988295693857
0.98,0.45510789978282296,0.0012385034461108947
1.0,0.45478862510388257,0.0011791676206696566
