aval,lambda,lambda_sem
0.6,0.15920312811335086,0.014560039476524508
0.62,0.22111503751472955,0.010441377242304473
0.64,0.187414390841017,0.012251239776481742
0.6599999999999999,0.18584475583612395,0.011909274119036093
0.6799999999999999,0.1846317130976126,0.013959915658749832
0.7,0.1754078698926723,0.015221868004398578
0.72,0.1683310052876931,0.016746072220298062
0.74,0.1730325657169909,0.014563145473899922
0.76,0.1645338341890216,0.01545875580936889
0.78,0.21031741946728974,0.014929280803682865
0.8,0.19073063066020388,0.015156533784351828
0.82,0.20984511544509415,0.015367308255834811
0.84,0.2183798121741096,0.012384452944096635
0.86,0.18856612276371176,0.009877059134489666
0.88,0.1771075141494654,0.00766381078322254
0.8999999999999999,0.14099609460202023,0.004517102519148144
0.9199999999999999,0.11558017545198933,0.002842598601191632
0.94,0.09339447831333844,0.0014717166154923464
0.96,0.06909885854251313,0.0009270887250151557
0.98,0.05794275873263735,0.0007784442494440485
1.0,0.05606132622602044,0.0008660936944182987
