aval,lambda,lambda_sem
0.6,-0.5340899493403053,0.0012354150145002013
0.62,-0.49711314014790214,0.0013153996351423323
0.64,-0.46465560459004374,0.0012374635825391188
0.6599999999999999,-0.432605250100986,0.0011967173605258858
0.6799999999999999,-0.39756462027416695,0.001433799556858098
0.7,-0.35311363638418547,0.0037934112205716213
0.71,-0.283321592863537,0.00800663461465722
0.72,-0.1847215667974128,0.01133504848454619
0.73,-0.002674915826840945,0.013766243292733
0.74,0.15147509650501598,0.012313344634748999
0.75,0.29883515758686197,0.008468958496815664
0.76,0.35911890981161276,0.00513283947326043
0.77,0.3827024191543847,0.00412303937485284
0.78,0.4017835833083966,0.0027363397670245957
0.79,0.4145198774396901,0.0027876334064427907
0.8,0.4211943174175059,0.0023349554340228998
0.82,0.434134989549317,0.0021650586909247567
0.84,0.444784190165497,0.0021690375992587615
0.86,0.45177114178609895,0.002024968520987001
0.88,0.4549165365202389,0.0019406588570046652
0.8999999999999999,0.4615974193377124,0.001957245730314246
0.9199999999999999,0.4648771837204519,0.0017675536443577853
0.94,0.46754347594011475,0.0020371224191652205
0.96,0.4692073566261129,0.0017810870111672392
0.98,0.4683015829116928,0.0018450693722761073
1.0,0.46684071870331256,0.0019175042327753873
