aval,lambda,lambda_sem
0.6,-0.48425627704069457,0.00032127830842831396
0.61,-0.4665415311592666,0.0003349746574265068
0.62,-0.45050918369714443,0.00033949174924174724
0.63,-0.4344110177661267,0.0003310261117880819
0.64,-0.41851004735400904,0.00033815144720998955
0.65,-0.4025565830936345,0.00032402319572575586
0.66,-0.3870114076853709,0.0003330567956720593
0.67,-0.371756120908843,0.000337921561082288
0.68,-0.35640118004610405,0.0003497155089748688
0.69,-0.3422112752365431,0.00032615471758705086
0.7,-0.3272596355063521,0.0003340634688423592
0.71,-0.31346122919029556,0.0003400315257305059
0.72,-0.29785515821216146,0.0003368314329328791
0.73,-0.2841011464686629,0.0003503101719445755
0.74,-0.2617774953489156,0.002168780127134317
0.75,-0.17206225247485546,0.006402119864577589
0.7525,-0.1216689533663349,0.007594575266894682
0.755,-0.05842362568502517,0.008620175328949627
0.7575,-0.000208565384110871,0.009077416138647808
0.76,0.052976684125779445,0.009272568002726519
0.7625,0.11802189740873278,0.009114470196628649
0.765,0.1803754037010724,0.008416763329857522
0.7675,0.21998681106952178,0.00797617273173186
0.77,0.25902287419391945,0.007142481545287399
0.78,0.35205856141299324,0.0038909050725325256
0.79,0.3817114290822669,0.001999463362334377
0.8,0.39561628302531543,0.0006703539428024194
0.81,0.403659051860934,0.0006143614509529552
0.82,0.4088844413606195,0.0005772909413015205
0.83,0.41472540367492694,0.0005553767976277167
0.84,0.4185576484748816,0.0005371033314106322
0.85,0.4215396890283324,0.0005317376067182961
