a_val,lambda_L=32,SEM_L=32
0.6,-0.49958515969796635,0.0005501456426997213
0.61,-0.48162558093624847,0.0006106854132357006
0.62,-0.46320296565320873,0.0006126911266214158
0.63,-0.4475263800148785,0.0005790147640917756
0.64,-0.4305687304667072,0.0005824945740743099
0.65,-0.4151706955350476,0.0005820414566997819
0.66,-0.3983283439755117,0.0005985575888731499
0.67,-0.3819551261187274,0.0005826613977906635
0.68,-0.36597197723553954,0.0005966306686192335
0.69,-0.35111528961965527,0.0005931626185489857
0.7,-0.33745490865163635,0.0006042296266123982
0.71,-0.3217108492540501,0.0005938790994137429
0.72,-0.3050469669830903,0.0011922516076051672
0.73,-0.27589491402534316,0.003044994953795103
0.74,-0.2142328830597599,0.005668189436836425
0.75,-0.07008643578625116,0.008737246060412393
0.76,0.10340901601774728,0.009329817543884312
0.77,0.21796071898968852,0.008208356819152796
0.78,0.3410947215713624,0.004924787321004348
0.79,0.3835908154069084,0.0028724969560010027
0.8,0.3999973505794697,0.0018831883967888644
0.81,0.4096430401129648,0.001350622518352139
0.82,0.4161320628596046,0.0011942586288959355
0.83,0.42271045858996903,0.0010759818894530127
0.84,0.4257564687405461,0.0010782216210621111
0.85,0.4313298952558562,0.0010738543290081735
