aval,lambda,lambda_sem
0.6,-0.4877842715753925,0.0019405357476808866
0.61,-0.47415387917839924,0.0017731895177126949
0.62,-0.45557527572465406,0.002067363485978893
0.63,-0.44273925131791403,0.0017156193509141058
0.64,-0.4252391137763095,0.0017166456510248037
0.65,-0.4070004184115588,0.0014729322452390317
0.66,-0.3911888874501216,0.001827942206047172
0.67,-0.3800821331662975,0.0017284514182986043
0.68,-0.36157272027407944,0.0016613001753734541
0.69,-0.34789630344059885,0.0017264917506000367
0.7,-0.3309466191524193,0.0018135066489878705
0.71,-0.31314085479245574,0.002016949235360586
0.72,-0.302431598385698,0.0015966742740443744
0.73,-0.2747966264416025,0.01265618994197448
0.74,-0.09811767604704799,0.035757564331563664
0.75,0.2294602357850482,0.02963103566601838
0.76,0.3505159728505262,0.005126340543289255
0.77,0.37592048516935356,0.003503038964010028
0.78,0.396134684248002,0.004284859883544241
0.79,0.39662450853480663,0.00399947081284803
0.8,0.40419202390531594,0.0032362707712515234
