aval,lambda,lambda_sem
0.6,-0.16019302220293516,3.093726541178539e-5
0.62,-0.12708293818151697,2.3056032464701525e-5
0.64,-0.09512507162755732,4.661999873520707e-5
0.6599999999999999,-0.06400624895511925,2.757084282447129e-5
0.6799999999999999,-0.03397900637435305,3.790264434884773e-5
0.7,0.0017412813222104286,0.0013457518716673918
0.72,0.02019454063996794,0.00405437801729708
0.74,0.08862228916905092,0.007015860827535633
0.76,0.17712179003182238,0.005421418828361944
0.78,0.22396722409235714,0.0041358131962816475
0.8,0.24985644038994492,0.002409165584036739
0.82,0.2659692089663915,0.0021183041365483964
0.84,0.2819353506656627,0.0020841548160575453
0.86,0.2914891968709625,0.002549348292091638
0.88,0.29585147876752693,0.0024300547461534555
0.8999999999999999,0.2913353936453759,0.002779657416978737
0.9199999999999999,0.2636189913766226,0.002838262727733856
0.94,0.1812766997904617,0.0028664577636544953
0.96,0.09579034150850868,0.0016747363901351005
0.98,0.06327636952399439,0.0009406938846081526
1.0,0.05664820239850191,0.0008016581736506555
