a_val,lambda_N=2,SEM_N=2,lambda_N=3,SEM_N=3,lambda_N=6,SEM_N=6,lambda_N=9,SEM_N=9,lambda_N=10,SEM_N=10
0.3,-1.2707045814373548,9.707197842135607e-6,-0.02248423052191976,0.024034466221852,-0.8688734775338229,2.807575148165088e-6,-1.013560291054013,8.647114505710652e-7,-1.0455276741201471,3.7989953685165517e-6
0.32,-1.2020975730490762,1.6410004822391056e-5,-0.00270578760195608,0.003986490163744536,-0.8029933198386464,3.689158455436155e-6,-0.9481286494876159,2.298417398564286e-6,-0.9801860881383755,7.3316319453021176e-6
0.34,-1.1376615309061746,1.681157040700874e-5,-0.01839614879980823,0.011585268743782743,-0.7411048803627021,2.935623451308551e-6,-0.8866592153436216,1.5852605664217652e-6,-0.9187952475950535,1.408274195080352e-6
0.36,-1.0768692372104138,1.4710199493606848e-5,0.008484978918118915,0.011433891462324073,-0.6827605638881133,4.1021417317763116e-6,-0.8287087833054143,2.649594869043451e-6,-0.8609599762874472,3.853731333894767e-5
0.38,-1.0193262431401091,1.764896839625079e-5,0.04647412774522653,0.011199685819223499,-0.6275594556314424,2.652556939553086e-6,-0.7738861604668531,1.3503053040314836e-6,-0.8061809719533979,2.604203316758738e-6
0.4,-0.964667165037071,2.0450110852656646e-5,0.12611632594136526,0.013474623038322349,-0.5752017188565757,3.608984334665514e-6,-0.7218804010016745,9.154704945424288e-7,-0.7542482864270575,3.76850398091179e-6
0.42,-0.9122205889692447,0.0001819089217367728,0.16719046573759105,0.010541718779383836,-0.5253897899322547,2.7641431216758768e-6,-0.6724165426139466,2.6166932108935905e-6,-0.7048514866263851,7.002549316400349e-6
0.44,-0.6342716487646982,0.10896557877475187,0.20635211761479458,0.01680542269075466,-0.4779173538365346,1.1934624425031561e-5,-0.6252485736184434,2.2081070422641167e-6,-0.6577470099880031,2.9370128864579983e-6
0.46,-0.008224155282957538,0.014637237492120255,0.25069293000551685,0.012258010663770472,-0.432525748505323,5.413771213261439e-6,-0.580177554079848,1.8698824479194056e-6,-0.6127423448792715,7.460164571538248e-6
0.48,0.005876219238475466,0.007098434809263412,0.2813606696511738,0.010476619385203589,-0.3891185448763935,3.1374421415056464e-5,-0.5370276395801484,1.4539936210816123e-6,-0.5696484999125444,4.180463583424988e-6
0.5,-0.000818256009867392,0.0001809981921373695,0.3117037391262963,0.017605274073235238,-0.3474892753028752,6.406307106305769e-5,-0.49564158135340913,5.059298838522797e-6,-0.5283119317447968,2.753124847756247e-6
0.52,0.0003099943898184029,0.0008883978649814945,0.35956703789280725,0.008932161297592655,-0.3073862432864919,2.1504794760880255e-5,-0.4558731390811501,2.0084686598608945e-6,-0.488636644070269,3.3480611880212816e-5
0.54,0.009611822194741552,0.007157638214585101,0.35985306357885716,0.013971919810719057,-0.2688470193217822,1.0645947574075434e-5,-0.41760675481564863,9.562781142876546e-7,-0.4504293376180321,2.9635453908453728e-5
0.56,0.09063471051121774,0.05742743941157618,0.4048063174321239,0.00748443405691767,-0.23174873353613057,2.6072975583332808e-5,-0.38073394413577294,1.7396986092563545e-6,-0.4135752761345549,7.539479584601452e-6
0.58,0.058898784268445116,0.04218567826232727,0.4064783820234393,0.009384137603444942,-0.19591468147329644,1.5402742662477145e-5,-0.345164409917293,7.77545749503533e-6,-0.3780339232778406,1.2614681460911566e-6
0.6,0.042405217208403345,0.0355172715770206,0.42926512505987535,0.015136136482655733,-0.1613016569980082,1.017924917951255e-5,-0.3107835743945957,1.8412964326344387e-6,-0.3437188578580147,6.639381346506707e-6
