a_val,lambda_L=32,SEM_L=32,lambda_L=64,SEM_L=64,lambda_L=128,SEM_L=128,lambda_L=256,SEM_L=256,lambda_L=512,SEM_L=512
0.6,-0.6091428593253682,0.013024599817722263,-0.530680258204993,0.008109936943033209,-0.5113020464172606,0.00458727735113959,-0.5003728037731702,0.002967484974553623,-0.4877842715753925,0.0019405357476808866
0.61,-0.5790148645886609,0.013761956079401411,-0.5030003304291649,0.006591529645713257,-0.49839840956897874,0.0038433464527526722,-0.484537162722284,0.002878932534639004,-0.47415387917839924,0.0017731895177126949
0.62,-0.5514262618305588,0.015139963410356842,-0.49451100705775325,0.007780683003008119,-0.4777250993955938,0.0031337745732376828,-0.464305753228585,0.0026400968942471154,-0.45557527572465406,0.002067363485978893
0.63,-0.5316128258893233,0.015308046288673108,-0.49285599429944604,0.006453645876815059,-0.45862841891087747,0.004359601252557108,-0.4471089263759332,0.003052461197233537,-0.44273925131791403,0.0017156193509141058
0.64,-0.4772695884176346,0.015369771950441754,-0.46032591372808385,0.005713391676976718,-0.4397646996005787,0.003693438339738895,-0.431398256347569,0.0026863531819907634,-0.4252391137763095,0.0017166456510248037
0.65,-0.4075035575070244,0.020569265281360986,-0.44838122723383406,0.008924168520115055,-0.4289245007115133,0.003682427251612133,-0.4113503171455888,0.0028436907677650463,-0.4070004184115588,0.0014729322452390317
0.66,-0.3773155253888399,0.025715536534680453,-0.40538372029930186,0.011581200369832503,-0.41104002794105676,0.0041957193388406,-0.39929162810696606,0.002268045260577568,-0.3911888874501216,0.001827942206047172
0.67,-0.2919977662958712,0.03353105521032368,-0.41479681257859924,0.006403649718013217,-0.3865091133983855,0.004055853694669849,-0.3848122629261069,0.0030222420560259734,-0.3800821331662975,0.0017284514182986043
0.68,-0.23415875044750414,0.04650817799337636,-0.366824804631801,0.012113867236012777,-0.37493742507413225,0.004272713879984928,-0.36634616512519913,0.002584847740899844,-0.36157272027407944,0.0016613001753734541
0.69,-0.1258149689683899,0.039564482394093714,-0.29745942252493807,0.025855253743273916,-0.36199963096208193,0.0043905415532077404,-0.3530522391513772,0.0027050549137174777,-0.34789630344059885,0.0017264917506000367
0.7,0.008758918459946065,0.04223264412234858,-0.27183945430090484,0.02541311346382303,-0.33112712332451444,0.013242086505895275,-0.33540222821939425,0.00266250336616686,-0.3309466191524193,0.0018135066489878705
0.71,0.11612492619979813,0.03987165793413675,-0.20230558388405384,0.034441860010778626,-0.29901174467080405,0.018621428270461492,-0.3183106225263154,0.0023229450611885034,-0.31314085479245574,0.002016949235360586
0.72,0.21883521918968626,0.037754712428506046,-0.005006563855496169,0.04099206099578313,-0.186463928927687,0.03160533206254521,-0.2525779633769478,0.02149877107009086,-0.302431598385698,0.0015966742740443744
0.73,0.29364051219149445,0.03550659280225415,0.11899782763712867,0.04331291802670425,0.048714505378815255,0.04020550006470066,-0.11204396237238891,0.03792820207652788,-0.2747966264416025,0.01265618994197448
0.74,0.3374225969974287,0.026329268921326133,0.23605782398938246,0.032362533367364214,0.1605603467822351,0.036100535184305525,0.06640052561490482,0.040441276407737,-0.09811767604704799,0.035757564331563664
0.75,0.3592664875755391,0.022267269255403257,0.32329391917212574,0.023369173758750438,0.31000817960185756,0.022447782835627223,0.279565715385167,0.024393449118648446,0.2294602357850482,0.02963103566601838
0.76,0.43586070622211565,0.02957610289395917,0.3583030091625319,0.023017175976778013,0.35640915271586154,0.01117979755016349,0.3655776508697302,0.011574397080130338,0.3505159728505262,0.005126340543289255
0.77,0.4402079214994758,0.021220265522794872,0.4135482109650711,0.01254368608699942,0.3868122133729032,0.010675672858203873,0.3753018801974724,0.00714660411655392,0.37592048516935356,0.003503038964010028
0.78,0.4659575869635535,0.022845547421608586,0.4318214188844272,0.012868999551104966,0.38749794822021244,0.010175102318664456,0.3917817840137964,0.005290412565093966,0.396134684248002,0.004284859883544241
0.79,0.4745505693502339,0.01836682165447345,0.4142316383570816,0.014700553163994231,0.40043790142301944,0.006706912715428846,0.4007760464316935,0.005093618910086904,0.39662450853480663,0.00399947081284803
0.8,0.5039778557308083,0.013520489070470569,0.42155394887321873,0.010214848617477512,0.40968200766064666,0.006576626876751686,0.4029554707249551,0.005668797423963194,0.40419202390531594,0.0032362707712515234
