a_val,lambda_N=2,SEM_N=2,lambda_N=3,SEM_N=3,lambda_N=4,SEM_N=4,lambda_N=6,SEM_N=6,lambda_N=9,SEM_N=9,lambda_N=10,SEM_N=10
0.6,0.15086342158273502,0.006311067406113053,0.434788381831262,0.0014111780186417142,-0.0920984350488197,0.006978002452729292,-0.1633448231847285,6.358812673172892e-6,-0.3168029524505319,9.020726418522087e-6,-0.35077600100244594,8.486933999080125e-6
0.62,0.17998515439387894,0.006324634292400807,0.4468227828359898,0.0013809543239273751,0.12398581778046233,0.005720264479782736,-0.12956559352885938,8.490114317607367e-6,-0.2829964040736548,9.662297232819287e-6,-0.3169533551770494,5.596697489568119e-6
0.64,0.20473924833889334,0.006346580768401162,0.45892106861972426,0.001341392290391364,0.3202475716527544,0.0017425122695830999,-0.09685231302784894,1.1385054654086373e-5,-0.2502616444423187,8.400589268357341e-6,-0.2842339388751472,8.66322256805952e-6
0.66,0.178371654466198,0.007838774621295851,0.4649849252994289,0.0013377589711203635,0.3625684453658805,0.0014958787131219941,-0.06511029603125282,1.0201478321893369e-5,-0.21855052350288298,1.2428383161119668e-5,-0.25250829824269955,9.413850956188738e-6
0.68,0.1627200559558354,0.0079252016281909,0.4711885705178279,0.0012647655279744122,0.3888201819372572,0.0013510066573226092,-0.034372773639890795,1.3485086966430956e-5,-0.18776792917440074,1.0919214739511753e-5,-0.22171718115223363,8.632716139215847e-6
0.7,0.14735572140711822,0.008806129000545188,0.47399491060638477,0.0012211777665947735,0.4085582009931729,0.0013203945351402116,0.004977834715951692,0.000857199966476103,-0.15788935739959686,1.2433047443432994e-5,-0.19185189830927815,1.000311857583986e-5
0.72,0.13315171974166326,0.009087033040710577,0.47882970965101246,0.001265034318051268,0.42269364688515415,0.0011865822280179238,0.008846088102946854,0.0015495745883123133,-0.1288554903680796,1.1176942796481716e-5,-0.16282520455760185,1.2408450687059272e-5
0.74,0.1259038598793516,0.009175787440839486,0.48357351602558873,0.001278292011552485,0.43544572371301754,0.0012384574440502509,0.0569065229680881,0.003953380834641051,-0.10058209579660464,1.0784486720110979e-5,-0.1345659248928862,1.1809607901374741e-5
0.76,0.1351483299136837,0.008682347027554735,0.4860037740834106,0.0014375068609122615,0.44406596673300086,0.001283397206236817,0.17493678192751572,0.003704321641133319,-0.07311998099112849,1.3241593120319095e-5,-0.10709235991542748,1.3921034341258526e-5
0.78,0.14175766018871278,0.008206958256389434,0.48961431561117397,0.0013621201822521323,0.4522210523404879,0.0011846233287679075,0.22587409198733688,0.002354478153165647,-0.04638031539638047,1.6734333494921802e-5,-0.08031450685615012,1.3051265879480698e-5
0.8,0.16625609530770177,0.007875411761757154,0.49167900616947785,0.0013474341822240004,0.4611177573318229,0.001234543572482981,0.258920537724674,0.00188921655966953,-0.020318888781440093,1.615583383391432e-5,-0.054224055601591443,1.2482145331627934e-5
0.82,0.16065893430086436,0.007313930052840716,0.4909294147869582,0.001363287596380388,0.46651779823375883,0.0013100948875987087,0.2724133772482897,0.0017480235039941487,0.028066299199956585,0.0015653618409404446,-0.02884616498143894,1.700018134151836e-5
0.84,0.1793248005942522,0.006696498647227603,0.4838284388432471,0.0014032103039551367,0.4697714446116642,0.001318775052751468,0.2886043149468529,0.0016648580398256729,0.05464066353320956,0.0018870554094716394,-0.0038279666317662503,9.837764224866024e-5
0.86,0.16373720655057816,0.004984014971605272,0.46323009828174033,0.0016743190035248083,0.464107529819188,0.0014486461199606313,0.29955186298951103,0.001814648071967822,0.08990767310623991,0.0017326053698187515,0.04987951720202729,0.001868908422340514
0.88,0.16558001178954213,0.0036552364082616698,0.4019276369487779,0.0020838424502803527,0.4373453448658131,0.0016730639581812772,0.3027340704136345,0.0017654286351099949,0.09937881988302513,0.0016174804846411422,0.07826386624278579,0.0017366228867317648
0.9,0.1476613288620371,0.002712172758525355,0.3061481993767196,0.002442427283639031,0.3724187474236093,0.0021171560739459195,0.3052983426418202,0.001914413744697372,0.10662240018108103,0.001648028216248215,0.08501640039275714,0.001550002382091103
0.92,0.12569252397839054,0.0016198149844767339,0.1970873889869729,0.002032951674902226,0.2646547065004138,0.002414602224348901,0.2871769615555597,0.0019196191516200924,0.1259485664362649,0.0018228381215565157,0.09314942154164213,0.0015760064279408382
0.94,0.09716300007387937,0.001054745400751901,0.12093476525917425,0.001185842445940733,0.15207522862981596,0.001732117969521326,0.21965224712176337,0.0021089374885220813,0.14207307027338886,0.0019507142573920895,0.10774164854703848,0.0016831237299749114
0.96,0.07354005641704836,0.0006740575658131399,0.07830963135837958,0.0007134125608731816,0.08690759118326384,0.0008698541664606761,0.1078982536432365,0.0012523358613288637,0.10309344207524204,0.0012732714524391754,0.09862566270666846,0.0015063350951803752
0.98,0.06261581181679335,0.0005644699318913424,0.0628995911267915,0.0006115076149283351,0.06399880735210389,0.0005532448131486615,0.06578537988048688,0.0006074745999519548,0.06965099356153197,0.0006669245626643677,0.07235587018648677,0.000678208284981083
1.0,0.05903336949000695,0.0005195200327277248,0.05863596422395575,0.0004911788458955998,0.05872684839567729,0.0005297641461471537,0.058168098148357,0.0005077625638937988,0.05843979144920624,0.0005232214142075793,0.05789905636753473,0.0004953774382689336
