aval,lambda,lambda_sem
0.7,-0.3498405844703631,0.00010136839043109346
0.71,-0.3355795608583443,0.0001024332714265622
0.72,-0.32175610362912394,9.960827496897794e-05
0.73,-0.3069888584265304,0.0005736028275026975
0.74,-0.2798287027001151,0.0025287202173223705
0.75,-0.159849289905012,0.007142747149334688
0.7525,-0.10103415236938387,0.00823710629224951
0.755,-0.055209416794155614,0.008697611273735301
0.7563,-0.026156836537209686,0.008992106596851578
0.7575,-0.011414315350232731,0.009103196595725942
0.7588,0.04348092374656957,0.009271586193913052
0.7594,0.0658409628354091,0.009251655670919335
0.76,0.07028204033462312,0.009258672808862303
0.7605,0.08798733486589409,0.009206982918873128
0.761,0.09038216625577211,0.009214647381243946
0.7615,0.11849087784091572,0.009059461262530571
0.762,0.12829755049344566,0.009030290794284305
0.7625,0.12853584344795227,0.009007507901079312
0.763,0.1502615554498273,0.008748424065702521
0.765,0.20551797369132357,0.008107371872617808
0.7675,0.23690032750219958,0.007471162269779859
0.77,0.26322418641621453,0.007003683102560325
0.78,0.353142158322065,0.003678094935484716
0.79,0.3849250364143884,0.0014382902523460467
0.8,0.3960397758251396,0.0007158672428844845
