aval,lambda,lambda_sem
0.7,-0.3182764070740477,0.0019178147412417398
0.71,-0.2980070677026909,0.002586006518483429
0.72,-0.2577438967190726,0.004426712640505481
0.73,-0.16289476683861973,0.007262956119573695
0.74,-0.048904332646401545,0.008791923459071243
0.75,0.07359144805728769,0.009059089641058605
0.7525,0.14003017790776562,0.008939784166647622
0.755,0.14883777166299011,0.008675465215000252
0.7563,0.1706731372988334,0.008462403106496392
0.7575,0.2068964850380456,0.008006244525568635
0.7588,0.20235262233512097,0.008308003536349156
0.7594,0.20406535137616763,0.00811678306988204
0.76,0.20893786728519056,0.007830240469737682
0.7605,0.2105764936155519,0.008084217763611236
0.761,0.23215921430815048,0.007689631202193097
0.7615,0.22106304240812763,0.007856955337992433
0.762,0.2345951750644219,0.007823167859070708
0.7625,0.2450624360068196,0.0073228830423256374
0.763,0.2355631183299712,0.007405640235422268
0.765,0.25879163616750384,0.0071166357572945505
0.7675,0.2780031149354869,0.0066890282762346615
0.77,0.3039948844939594,0.005798499342350266
0.78,0.34623606233866616,0.004384822403048689
0.79,0.37849015281558934,0.002907601773017698
0.8,0.3846882307521405,0.0027332785255637392
