L_val: 1024 | a_val: 0.7525 | IC: 1432 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 640 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1695 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1503 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 88 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 392 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 280 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1152 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 935 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 128 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 671 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1743 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 287 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1270 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1055 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 408 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1800 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 760 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 743 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1207 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1480 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1719 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1159 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 888 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1400 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 992 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 710 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1191 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 159 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 919 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1024 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1367 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1511 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1912 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 64 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 792 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1119 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 71 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 80 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1647 / 2000
L_val: 1024 | a_val: 0.7525 | IC: 1102 / 2000
